,types,complaints,Commnet,cleanmsg
76,Marriage,What's the best way to handle my spouse's narcissism and bipolar disorder?,,best way handle spouse narcissism bipolar disorder
77,Intimacy,How can I have a better sex life when I don't like sex?,,well sex life sex
78,Trauma/Grief/Loss,I endured sexual and physical abuse by my brother as child,,endure sexual physical abuse brother child
79,Social Relationships,I want to feel more comfortable around people,,want feel comfortable around people
80,Counseling Fundamentals,How would I know if I have the right therapist?,,right therapist
81,Relationships,How can I help my girlfriend?,,help girlfriend
82,Relationships,I just found out my boyfriend has been cheating on me,,found boyfriend cheat
83,Stress/Anxiety,"I need help with my severe claustrophobia, motorphobia, and anxiety",,need help severe claustrophobia motorphobia anxiety
84,Stress/Anxiety,How can I deal with the stress of my mother?,,deal stress mother
85,Family Conflict,"No matter what I do, my mom will almost always find something wrong with it",,matter mom almost always find something wrong
86,Social Relationships,Should I be concerned that my boyfriend will not introduce me to a female friend,,concerned boyfriend introduce female friend
87,Family Conflict,How do I tell my elderly mother that I canâ€™t stay for long visits?,,tell elderly mother canâ€™t stay long visit
88,Stress/Anxiety,What can I do when I feel like my life is out of control?,,feel life control
89,Substance Abuse/Addiction,How do I handle my binge eating addiction,,handle binge eat addiction
90,Intimacy,"I want to have a threesome with my husband and another girl, but I feel really nervous",,want threesome another feel really nervous
91,Relationships,Is it possible to gain joy and prosperity in my relationship after years of unhappiness?,,possible gain joy prosperity relationship year unhappiness
92,Relationships,How can I deal with a â€œcrushâ€ in a relationship?,,deal â€œcrushâ€ relationship
93,Anger Management,How can I just be happy and not mad all the time?,,happy mad time
94,Marriage,How can I help my husband after a suicide attempt?,,help suicide attempt
95,Parenting,My child urinated in his mother's drink,,child urinated mother drink
96,Behavioral Change,Is my ex-boyfriend a pathological liar?,,ex-boyfriend pathological liar
97,Intimacy,How do I handle getting the silent treatment from my boyfriend?,,handle get silent treatment boyfriend
98,Self-esteem,How do I open up to someone?,,open someone
99,Relationships,My fiancÃ© is trying to hide that he's texting his ex-girlfriend,,fiancã© try hide texting ex-girlfriend
100,Parenting,How can I help my daughter with her severe depression and her obsessive form of thinking?,,help daughter severe depression obsessive form think
101,Relationships,How do I deal with a man who only contributes financially?,,deal man contributes financially
102,Social Relationships,Is it wrong that I'm married and I have a best friend that's like a sister to me?,,wrong married best friend sister
103,Social Relationships,How can I be less anxious around new people?,,less anxious around new people
104,Family Conflict,Why do I feel sad all the time?,,feel sad time
105,Intimacy,My wife and I have been married for over 3 years and we're tired of having sex,,married year 're tire sex
106,Depression,How can I get counseling if my primary care physician won't help?,,counsel primary care physician help
107,Social Relationships,My boyfriend is upset about my friendship with another guy,,boyfriend upset friendship another guy
108,Relationships,How do I get my partner to stop verbally abusing me?,,partner stop verbally abuse
109,Substance Abuse/Addiction,I over endulge when I drink alcohol and feel extremely guilty about it the next day,,endulge drink alcohol feel extremely guilty next day
110,Depression,I'm depressed and unable to connect with people after my breakup,,depressed unable connect people breakup
111,Counseling Fundamentals,My therapist betrayed my trust,,therapist betrayed trust
112,Relationships,My relationship is suffering from severe abandonment issues,,relationship suffer severe abandonment issue
113,Relationships,My boyfriend of a little over a year has a problem with me going to visit my mother,,boyfriend little year problem visit mother
114,Stress/Anxiety,I have difficulty with communication,,difficulty communication
115,Depression,How do I overcome my depression?,,overcome depression
116,Intimacy,What do you do if your partner isn't satisfying your needs sexually?,,partner satisfy need sexually
117,Family Conflict,My husband is harsh towards our son and threatened me,,harsh towards son threaten
118,Sleep Improvement,How can I be less paranoid at night?,,less paranoid night
119,Relationships,How do I stop obsessively checking if my boyfriend is cheating?,,stop obsessively check boyfriend cheat
120,LGBTQ,How do I know if I'm transgender?,,transgender
121,Sleep Improvement,How can I deal with this anxiety that keeps me up all night?,,deal anxiety keep night
122,Relationship Dissolution,How can I deal with a break up?,,deal break
123,Trauma/Grief/Loss,How can I get over my posttraumatic stress disorder without my parents knowing about it?,,posttraumatic stress disorder without parent know
124,Intimacy,Why is my ex-boyfriend upset with me?,,ex-boyfriend upset
125,Workplace issues,I'm worried about my new job,,worried new job
126,Family Conflict,My husband doesn't include me in the family,,include family
127,Relationship Dissolution,Should I get a divorce?,,divorce
128,Relationships,I am 18 years old with a baby on the way,,year old baby way
129,Stress/Anxiety,How to stop worrying in a long distance relationship?,,stop worry long distance relationship
130,Behavioral Change,"If I'm not with my boyfriend, I have emotional breakdowns",,boyfriend emotional breakdown
131,Family Conflict,I feel like I'm on my own,,feel
132,Substance Abuse/Addiction,What can I do about my roommate's drinking problem?,,roommate drinking problem
133,Anger Management,I get so angry that I want to explode,,angry want explode
134,Counseling Fundamentals,Is there a lawsuit for counselors and therapists who failed to report a relapse?,,lawsuit counselor therapist fail report relapse
135,Intimacy,My long-distance boyfriend has started to pull away from meâ€”what can I do?,,long-distance boyfriend start pull away meâ€
136,Stress/Anxiety,Thoughts of afterlife causes anxiety,,thought afterlife cause anxiety
137,Relationships,How can I not miss my boyfriend while he's in Ireland?,,miss boyfriend ireland
138,Intimacy,Why do I have sexual urges for my sister?,,sexual urge sister
139,Counseling Fundamentals,Is self-diagnosing okay?,,self-diagnosing okay
140,Sleep Improvement,Why am I dreaming so much?,,dream much
141,Counseling Fundamentals,How does someone approach a counselor?,,someone approach counselor
142,Social Relationships,I'm seriously unhappy with everything in my life but I know I don't have any reason to feel this way,,seriously unhappy everything life reason feel way
143,Depression,How can I deal with depression stemming from chronic pain?,,deal depression stem chronic pain
144,Relationships,I can't leave my negative environment without leaving behind my fiancÃ©,,leave negative environment without leave behind fiancã©
145,Family Conflict,How do I deal with parental figures who have hurt me?,,deal parental figure hurt
146,Relationships,I want to stop physically abusing my girlfriend,,want stop physically abuse girlfriend
148,Intimacy,Is it okay for my girlfriend to have sex with other men since I canâ€™t sexually perform?,,okay girlfriend sex men since canâ€™t sexually perform
149,Depression,I don't believe in myself anymore,,believe anymore
150,Depression,Might I have depression?,,might depression
151,Marriage,Is my husband having a midlife crisis?,,midlife crisis
152,Depression,How do I cope with bad thoughts?,,cope bad thought
154,LGBTQ,I want to be a boy but I can't because of my religion,,want religion
155,Stress/Anxiety,How do I relieve stress and find balance?,,relieve stress find balance
156,Marriage,How do I fix my marriage?,,fix marriage
157,Intimacy,Why won't my boyfriend have sex with me?,,boyfriend sex
158,Relationships,What should my boyfriend and I do to cope with his cancer?,,boyfriend cope cancer
159,Substance Abuse/Addiction,Is it okay if I take my friend's pills away?,,okay take friend pill away
162,Trauma/Grief/Loss,How can I end the grief of my son's passing?,,end grief son passing
164,Social Relationships,I feel really uncomfortable around other people,,feel really uncomfortable around people
165,Stress/Anxiety,How can I be less afraid of rape?,,less afraid rape
166,Stress/Anxiety,How can I make the voices stop?,,make voice stop
167,Depression,My family says I have depression,,family say depression
168,Stress/Anxiety,How can I control my anxiety?,,control anxiety
169,LGBTQ,How do I know what my sexual orientation is?,,sexual orientation
170,LGBTQ,My wife outed me to her sister,,out sister
171,Trauma/Grief/Loss,Is being mean and fighting with my boyfriend normal after an abortion?,,mean fight boyfriend normal abortion
172,Self-esteem,How do I become more self-confident in general?,,become self-confident general
173,Social Relationships,Do I have social anxiety?,,social anxiety
174,Family Conflict,Is it normal to take a parent role and feel so hurt and broken as a teenager?,,normal take parent role feel hurt broken teenager
175,Relationship Dissolution,How do I get over a person I fell in love with?,,person fell love
176,Stress/Anxiety,How can I be less stressed out?,,less stress
177,Stress/Anxiety,How do I find out the cause of my depression and anxiety?,,find cause depression anxiety
178,Marriage,My sister and my husband had an affair,,sister affair
179,Stress/Anxiety,Is there anything I can do to make my anxiety go away?,,anything make anxiety away
180,Stress/Anxiety,I'm not sure if I have social anxiety disorder,,sure social anxiety disorder
181,Parenting,How do I tell one parent I want to live with the other one?,,tell parent want live
182,Social Relationships,Can a person be mean towards another person if that person was treated poorly before?,,person mean towards another person person treat poorly
183,Substance Abuse/Addiction,Can a therapist have a client admitted to an eating disorder treatment center if the client does not want to go?,,therapist client admit eat disorder treatment center client want
184,Family Conflict,My mentally-ill mother-in-law wants to babysit,,mentally-ill mother-in-law want babysit
185,Intimacy,Why am I experiencing dfficulty maintaining an erection?,,experience dfficulty maintain erection
186,Intimacy,My wife doesn't want to have sex,,want sex
187,Social Relationships,"How can I deal with my best friend, whom I have a crush on, having a crush on someone else?",,deal best friend crush crush someone else
188,Trauma/Grief/Loss,I think my wife is running from the pain of losing our first born,,think run pain lose first born
189,Behavioral Change,Is it weird or dangerous to give myself advice through an imaginary friend?,,weird dangerous give advice imaginary friend
190,Self-esteem,How do I get to know myself?,,
191,Relationships,How do I communicate with my boyfriend of ten years without him feeling like I'm attacking him?,,communicate boyfriend ten year without feel attack
192,Social Relationships,I have an old roommate who might be a psychopath,,old roommate might psychopath
193,Relationships,Is it time to end my relationship with my boyfriend for good?,,time end relationship boyfriend good
194,Marriage,My husband and I canâ€™t talk to each other without arguing,,canâ€™t talk without argue
195,Depression,How can I cope with depression?,,cope depression
196,LGBTQ,"I think I can become a transgender, but how can I be sure?",,think become transgender sure
197,Depression,Is it possible that I have depression?,,possible depression
199,Self-esteem,How can I learn to love and like myself and what's in the mirror?,,learn love mirror
200,Stress/Anxiety,Why do I have panic attacks when I carry my baby?,,panic attack carry baby
201,Family Conflict,"Should I talk honestly to my brother about his girlfriend, risking our own relationship?",,talk honestly brother girlfriend risk relationship
202,Intimacy,What should I do about my husband's emotional affair with his ex-wife?,,emotional affair ex-wife
203,Anger Management,I need help controlling my anger,,need help control anger
204,Relationship Dissolution,How can I move forward from my boyfriend leaving me with no explanation?,,move forward boyfriend leave explanation
205,Counseling Fundamentals,How does counseling end?,,counsel end
206,Relationships,How do I fix or leave a bad relationship?,,fix leave bad relationship
207,Relationships,How can I help my boyfriend's anger issues?,,help boyfriend anger issue
208,Depression,How can I find myself again?,,find
209,Depression,How can someone like me be happy?,,someone happy
210,Behavioral Change,"Can someone with bipolar disorder feel like they are not themselves, like an observer in their own body and not really in control?",,someone bipolar disorder feel observer body really control
211,Parenting,Should my step-daughters be told that their step-father has a child pornography addiction?,,step-daughters told step-father child pornography addiction
212,Parenting,How can I be less anxious when dealing with my toddler?,,less anxious deal toddler
213,Intimacy,What can I do when my boyfriend says he's not ready for marriage?,,boyfriend say ready marriage
214,Stress/Anxiety,How can I be less stressed?,,less stress
215,Self-esteem,I feel really down all the time,,feel really time
216,LGBTQ,My dad is mad because I identify as a male and I was born a female,,dad mad identify male born female
218,Self-esteem,How can I stop repetitive thoughts and feel confident again?,,stop repetitive thought feel confident
219,Relationships,What should I do if I think my partner is cheating?,,think partner cheat
220,Marriage,Why am I with my husband if he is mean?,,mean
221,Family Conflict,Is it okay to date my ex-boyfriendâ€™s cousin?,,okay date ex-boyfriendâ€™s cousin
222,Depression,How can I get people to listen?,,people listen
223,Social Relationships,Is it wrong to be antisocial around people?,,wrong antisocial around people
224,Relationships,My boyfriend wants nothing to do with me after his dad's suicide,,boyfriend want nothing dad suicide
225,Marriage,Can my marriage be saved?,,marriage save
226,Stress/Anxiety,Why do I feel anxious and uncomfortable at parties or big social situations?,,feel anxious uncomfortable party big social situation
227,LGBTQ,How do I cure myself of being a transvestite?,,cure transvestite
228,Intimacy,What can I do about my boyfriend insulting my body?,,boyfriend insult body
229,Stress/Anxiety,"If I am trying to stop self-harming and I seek help, will I need to be put in an inpatient setting?",,try stop self-harming seek help need put inpatient set
230,Stress/Anxiety,"How do I get over ""imposter syndrome""?",,imposter syndrome
231,Self-esteem,Why do I feel like I'm nothing more than a wife and mom?,,feel nothing mom
232,Family Conflict,"I was duped into getting married to a therapist, but once her immigration status was secure, she bolted",,duped get married therapist immigration status secure bolt
233,Intimacy,How can I tell if my spouse had sex with a prostitute?,,tell spouse sex prostitute
234,LGBTQ,I'm transgender. I want help and I need help,,transgender want help need help
235,Depression,How do I stop feeling empty?,,stop feel empty
236,Social Relationships,The Underlying Causes of Being Possessive,,underlie cause possessive
238,Trauma/Grief/Loss,My husband makes me uncomfortable about sex,,make uncomfortable sex
240,Relationships,I feel like my relationship is falling apart,,feel relationship fall apart
241,Counseling Fundamentals,Is it unethical to have a relationship with a fellow counselor?,,unethical relationship fellow counselor
243,Relationship Dissolution,How do I get over my heartbreak?,,heartbreak
244,Stress/Anxiety,"Sleeping, Anger and Anxiety",,sleep anger anxiety
245,Family Conflict,I lie to my mom about my relationship,,lie mom relationship
246,LGBTQ,What can I do about my family not accepting me as bisexual?,,family accept bisexual
247,Anger Management,How do I deal with my son's violent thoughts and dreams?,,deal son violent thought dream
248,Stress/Anxiety,My apartment manager won't let me keep an emotional support dog,,apartment manager keep emotional support dog
249,Depression,"Why do I feel fine when I'm with others, but when I'm alone, I feel really depressed, sad, and worthless?",,feel fine others alone feel really depressed sad worthless
251,Anger Management,I have anger issues. I am extremely explosive about the simplest things,,anger issue extremely explosive simplest thing
252,Stress/Anxiety,I completely lost myselfâ€”how can I find myself again?,,completely lose myselfâ€ find
253,Intimacy,How can I control my sexual urges?,,control sexual urge
254,Behavioral Change,I feel like I failed myself,,feel fail
255,Family Conflict,I don't want to keep going back and forth between my parents' houses,,want keep back forth parent house
256,Marriage,Is my marriage worth saving?,,marriage worth save
258,LGBTQ,Do I have to go to counseling to get hormones to transition from female to male?,,counsel hormone transition female male
260,Intimacy,"I cheated on my partner, and I don't know how to feel",,cheat partner feel
261,Depression,Why do I feel so lonely when I have friends and attention?,,feel lonely friend attention
262,Parenting,What can I do about my dad?,,dad
263,Self-esteem,How can I not hate myself?,,hate
264,Stress/Anxiety,How can I avoid family members who stress me out?,,avoid family member stress
265,Relationships,How do I better handle my breakup?,,well handle breakup
266,Stress/Anxiety,I don't like going outside anymore,,outside anymore
267,Counseling Fundamentals,Is it appropriate to give my counselor a bottle of wine for Christmas?,,appropriate give counselor bottle wine christmas
268,Intimacy,Should I be upset that my husband may have lied to me again?,,upset may lie
269,Relationship Dissolution,Did I make a mistake breaking up with a guy who said his ex-girlfriend will always be on his mind?,,make mistake break guy ex-girlfriend always mind
270,Behavioral Change,I have had a compulsive swallowing tic for the past 9 monthsâ€”how can I get rid of it?,,compulsive swallow tic past monthsâ€ rid
271,Stress/Anxiety,I get depressed whenever anyone I care about is too busy to be with me. What do I do?,,depressed whenever anyone care busy
272,Social Relationships,How can I overcome social anxiety?,,overcome social anxiety
273,Trauma/Grief/Loss,How do I cope with losing my mom?,,cope lose mom
274,Relationships,I need help of letting go of a man who hurt me but itâ€™s so hard. How do I do it?,,need help let man hurt itâ€™s hard
275,Trauma/Grief/Loss,How do I open things up with a therapist without fearing judgment and condescension?,,open thing therapist without fear judgment condescension
276,Stress/Anxiety,How do I stop my nightmares?,,stop nightmare
277,Relationships,How can I be less insecure and needy with my girlfriend?,,less insecure needy girlfriend
278,Depression,Why do I feel like I don't belong anywhere?,,feel belong anywhere
279,Relationships,I have come to the realization that my boyfriend and I want different things,,come realization boyfriend want different thing
280,Behavioral Change,I have a compulsion to fill in holes in my skin with ink,,compulsion fill hole skin ink
281,Relationships,How do I help my partner overcome depression over not having his kids by his side all the time?,,help partner overcome depression kid side time
282,Anger Management,Why do I get angry so easily?,,angry easily
283,Parenting,"My daughter calls me crazy, and Iâ€™m not sure how to handle that",,daughter call crazy iâ€™m sure handle
284,Anger Management,How can I control myself and my anger?,,control anger
285,Intimacy,My boyfriend does not do some sexual things with me that he has done with other people,,boyfriend sexual thing people
286,Social Relationships,How do I learn to let go of past problems and live one day at a time?,,learn past problem live day time
287,Stress/Anxiety,Why do I feel like Iâ€™m watching my life from a window?,,feel iâ€™m watch life window
288,Stress/Anxiety,Why am I scared to touch a girl?,,scar touch
289,Depression,I'm depressed because my mother kicked me out after having a child,,depressed mother kick child
290,Family Conflict,"I'm in love with a sex offender, but my family doesn't accept him",,love sex offender family accept
291,Relationships,My ex left without fully explaining but I feel broken and empty,,left without fully explain feel broken empty
292,Depression,How can you get back to my old self?,,back old self
293,Depression,Why do I feel like I will never have a good career/amount to anything financially?,,feel never good career/amount anything financially
294,Marriage,How do I cope and rebuild my life after ending an 11 year abusive marriage?,,cope rebuild life end year abusive marriage
295,Intimacy,Am I wrong because I donâ€™t want to sit on the same couch my wife had sex with another man on while we were still married?,,wrong donâ€™t want sit couch sex another man still married
296,Self-esteem,How do I find myself?,,find
297,Intimacy,Why can't I get an erection with my girlfriend?,,erection girlfriend
298,Stress/Anxiety,When I'm around children I get this intense feeling of paranoia and fear,,around child intense feel paranoia fear
299,Depression,"How do you deal with mental illness (depression, anxiety) in a relationship?",,deal mental illness depression anxiety relationship
300,LGBTQ,Why is he treating me like I am not a good woman?,,treat good woman
301,LGBTQ,Is it normal for married men to fantasize about having oral sex with men?,,normal married men fantasize oral sex men
302,Intimacy,Do I leave my cheating husband or share him with someone?,,leave cheat share someone
303,Family Conflict,What should I do if I found out one of my parents are cheating?,,found parent cheat
304,Marriage,Is it wrong to cheat on my husband?,,wrong cheat
305,Relationships,Should I tell my separated wife that I'm expecting a child with the woman I'm dating?,,tell separate expect child woman date
306,Relationships,How do I end an unhealthy relationship?,,end unhealthy relationship
307,Stress/Anxiety,How can I convince my mother I have anxiety and panic attacks?,,convince mother anxiety panic attack
308,Stress/Anxiety,How do I cope with separation anxiety while boyfriend is out of town?,,cope separation anxiety boyfriend town
309,Relationships,How can I be able to trust the person I'm dating again after I've been lied to multiple times already by them in the past?,,able trust person date 've lie multiple time already past
310,Relationships,My girlfriend is always accusing me of cheating on her when I haven't,,girlfriend always accuse cheat
311,Family Conflict,"I lost my mom, and I feel like I'm depressed",,lose mom feel depressed
312,Parenting,My parents aren't letting my boyfriend and I talk or see each other while I'm pregnant,,parent let boyfriend talk see pregnant
313,Relationship Dissolution,How do I fix my relationship?,,fix relationship
314,Stress/Anxiety,How can I stop worrying much?,,stop worry much
315,Social Relationships,What can I do about those people that are so misunderstanding and judgmental?,,people misunderstand judgmental
316,Stress/Anxiety,"I have long spurts of depression, anxiety, and need change constantlyâ€”why?",,long spurt depression anxiety need change constantlyâ€
317,Relationships,Why can't I let myself trust my partner?,,trust partner
319,Stress/Anxiety,Could a rape that happened years ago be the cause of my anxiety?,,could rape happen year ago cause anxiety
321,Intimacy,How do I tell a girl that I crossdress?,,tell crossdress
322,Stress/Anxiety,Relationships cause me anxiety and nausea,,relationship cause anxiety nausea
323,Relationships,Should I let the father of my kids go?,,father kid
324,Family Conflict,What's wrong with me for going to summer school?,,wrong summer school
325,Marriage,What makes a good marriage?,,make good marriage
326,Marriage,My husband said he loves me but is not in love with me,,love love
327,Behavioral Change,I have voices in my head,,voice head
328,Social Relationships,Why am I so protective of my friends and family?,,protective friend family
329,Relationships,I am in my mid-40s and am currently mending a broken heart over another failed relationship,,mid- currently mend broken heart another fail relationship
330,Family Conflict,"I'm dating a boy that my religious parents don't like, and I'm having trouble finding my identity",,date religious parent trouble find identity
331,Social Relationships,How do I know who to trust?,,trust
332,LGBTQ,What does it mean that I feel like different genders?,,mean feel different gender
334,Intimacy,How do depression and PMS symptoms contribute to one another and what can I do about it?,,depression symptom contribute another
335,Stress/Anxiety,How can I be less afraid of people?,,less afraid people
336,Stress/Anxiety,I keep on changing my life when things get tough,,keep change life thing tough
337,LGBTQ,I'm starting to believe that I'm gay,,start believe gay
338,Relationship Dissolution,Should I end it?,,end
339,Stress/Anxiety,Do I have anxiety?,,anxiety
340,Workplace issues,I'm attracted to my boss,,attract bos
341,Relationships,How can I find out I'm being cheated on?,,find cheat
342,Counseling Fundamentals,How do therapists characterize personality types?,,therapist characterize personality type
343,Family Conflict,How do I tell my parents that I'm depressed and need help?,,tell parent depressed need help
344,Family Conflict,My traditional family is opposed to me moving in with my boyfriend who is 13 years older,,traditional family oppose move boyfriend year old
345,Marriage,I don't feel a connection to my husband anymore,,feel connection anymore
346,Intimacy,My husband kept a huge secret from me,,kept huge secret
347,Depression,How do I fight inner loneliness from depression and a severe anxiety disorder?,,fight inner loneliness depression severe anxiety disorder
348,Relationships,I'm older and just experienced heartbreak,,old experienced heartbreak
349,Relationships,How do I help my 20 year old boyfriend who says he hates his life?,,help year old boyfriend say hate life
350,Anger Management,How can I control myself and learn to let things go or communicate?,,control learn thing communicate
351,Family Conflict,How do I tell my parents that I think I have some mental problems?,,tell parent think mental problem
352,Self-esteem,What can I do if my parents refuse to acknowledge my anxiety and self-confidence issues?,,parent refuse acknowledge anxiety self-confidence issue
353,Depression,How do I know if I have depression?,,depression
354,Self-esteem,How can I learn to not shut down and say what's wrong with me?,,learn shut say wrong
355,Stress/Anxiety,What can I do about my depression and anxiety after trying so many things?,,depression anxiety try many thing
356,Relationships,I feel like I could never be with anyone because no one would want me,,feel could never anyone want
357,Relationships,"Is it possible to get my ex-boyfriend help, forcibly?",,possible ex-boyfriend help forcibly
358,Marriage,My husband doesn't trust me,,trust
359,Relationships,I'm worried that there's something wrong with the guy I love,,worried something wrong guy love
360,Intimacy,My girlfriend can't stand it when I touch her,,girlfriend stand touch
362,Behavioral Change,Why do I think about how easy it would be to hurt cute animals?,,think easy hurt cute animal
363,Relationships,How do I save my relationship?,,save relationship
364,Behavioral Change,How do I know if my daughter has bipolar disorder?,,daughter bipolar disorder
365,Relationships,How do I get over the man I had an affair with?,,man affair
366,Counseling Fundamentals,How does counseling help people?,,counsel help people
367,Social Relationships,How do I get over my anxiety of talking to new people?,,anxiety talk new people
368,Relationships,How can I get my husband to listen to my needs and talk to me?,,listen need talk
369,Family Conflict,How do I overcome being jealous of my boyfriends mother?,,overcome jealous boyfriend mother
370,Behavioral Change,I always feel the need to tell people everything,,always feel need tell people everything
372,Family Conflict,How can I avoid becoming wrapped up in family issues and control my anxiety about them?,,avoid become wrap family issue control anxiety
374,Behavioral Change,Why does my granddaughter instantly switch moods?,,granddaughter instantly switch mood
375,Stress/Anxiety,Why do I find pleasure in thinking about killing?,,find pleasure think kill
376,Trauma/Grief/Loss,How do I deal with the pain of losing my baby?,,deal pain lose baby
377,Parenting,I want help with how to deal with my abused daughter,,want help deal abuse daughter
378,Family Conflict,Why do my parents always favor my sibling while acting like they do so much for me?,,parent always favor sibling act much
380,Depression,I feel stuck in life. What can I do?,,feel stuck life
381,Depression,How do I get back on my feet while going through a bad divorce?,,back foot bad divorce
382,Family Conflict,"What do I do about a cousin who makes me feel belittled, insecure and frustrated?",,cousin make feel belittle insecure frustrate
383,Intimacy,How do I hold onto my marriage when there is no common bond or intimacy?,,hold onto marriage common bond intimacy
384,Marriage,My ex-boyfriend wouldn't let me have my daughter because I didn't know my stepdaughter's pick-up details,,ex-boyfriend daughter stepdaughter pick-up detail
386,Counseling Fundamentals,What are the skills needed by a counselor?,,skill need counselor
387,Stress/Anxiety,How can I manage my anxiety and depression so I can feel normal again?,,manage anxiety depression feel normal
388,Depression,Why am I so sad?,,sad
389,Relationships,How do I get over jealousy?,,jealousy
390,Depression,How can I love myself?,,love
391,Marriage,My husband treats me terribly,,treat terribly
